"","category","term","ontology"
"6080","GO:0030994","primary cell septum disassembly","BP"
"6771","GO:0032955","regulation of division septum assembly","BP"
"14739","GO:2001043","positive regulation of septum digestion after cytokinesis","BP"
"6944","GO:0033563","dorsal/ventral axon guidance","BP"
"11946","GO:0071852","fungal-type cell wall organization or biogenesis","BP"
"13649","GO:1902501","lysosomal HOPS complex","CC"
"13697","GO:1902774","late endosome to lysosome transport","BP"
"11258","GO:0061909","autophagosome-lysosome fusion","BP"
"12027","GO:0072357","PTW/PP1 phosphatase complex","CC"
"6025","GO:0030865","cortical cytoskeleton organization","BP"
"324","GO:0000935","division septum","CC"
"2982","GO:0008137","NADH dehydrogenase (ubiquinone) activity","MF"
"7060","GO:0034058","endosomal vesicle fusion","BP"
"6040","GO:0030897","HOPS complex","CC"
"6772","GO:0032956","regulation of actin cytoskeleton organization","BP"
"315","GO:0000917","division septum assembly","BP"
"6314","GO:0031490","chromatin DNA binding","MF"
"6193","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","CC"
"2689","GO:0007163","establishment or maintenance of cell polarity","BP"
"11461","GO:0070469","respirasome","CC"
"2745","GO:0007264","small GTPase mediated signal transduction","BP"
"3087","GO:0008333","endosome to lysosome transport","BP"
"6498","GO:0032153","cell division site","CC"
"10140","GO:0050808","synapse organization","BP"
"5764","GO:0030198","extracellular matrix organization","BP"
"4967","GO:0016829","lyase activity","MF"
"2620","GO:0007015","actin filament organization","BP"
"3101","GO:0008360","regulation of cell shape","BP"
"6402","GO:0031902","late endosome membrane","CC"
"1658","GO:0005102","signaling receptor binding","MF"
"6088","GO:0031012","extracellular matrix","CC"
"8241","GO:0042995","cell projection","CC"
"1904","GO:0005770","late endosome","CC"
"6425","GO:0031966","mitochondrial membrane","CC"
"7226","GO:0034613","cellular protein localization","BP"
"2574","GO:0006914","autophagy","BP"
"14797","No_GO",NA,NA
"2226","GO:0006357","regulation of transcription by RNA polymerase II","BP"
"6616","GO:0032456","endocytic recycling","BP"
"2004","GO:0005938","cell cortex","CC"
"1901","GO:0005765","lysosomal membrane","CC"
"1192","GO:0004222","metalloendopeptidase activity","MF"
"6277","GO:0031410","cytoplasmic vesicle","CC"
"8867","GO:0045202","synapse","CC"
"1581","GO:0004843","thiol-dependent ubiquitin-specific protease activity","MF"
"4875","GO:0016579","protein deubiquitination","BP"
"5469","GO:0019901","protein kinase binding","MF"
"275","GO:0000785","chromatin","CC"
"5870","GO:0030424","axon","CC"
"2554","GO:0006886","intracellular protein transport","BP"
"2322","GO:0006511","ubiquitin-dependent protein catabolic process","BP"
"1820","GO:0005615","extracellular space","CC"
"1960","GO:0005856","cytoskeleton","CC"
"1015","GO:0003924","GTPase activity","MF"
"8360","GO:0043231","intracellular membrane-bounded organelle","CC"
"1794","GO:0005525","GTP binding","MF"
"4645","GO:0016020","membrane","CC"
"1979","GO:0005886","plasma membrane","CC"
"1","GO:0000001","mitochondrion inheritance","BP"
"2","GO:0000002","mitochondrial genome maintenance","BP"
"3","GO:0000003","reproduction","BP"
"4","GO:0000009","alpha-1,6-mannosyltransferase activity","MF"
"5","GO:0000010","trans-hexaprenyltranstransferase activity","MF"
"6","GO:0000011","vacuole inheritance","BP"
"7","GO:0000012","single strand break repair","BP"
"8","GO:0000014","single-stranded DNA endodeoxyribonuclease activity","MF"
"9","GO:0000015","phosphopyruvate hydratase complex","CC"
"10","GO:0000019","regulation of mitotic recombination","BP"
"11","GO:0000022","mitotic spindle elongation","BP"
"12","GO:0000023","maltose metabolic process","BP"
"13","GO:0000024","maltose biosynthetic process","BP"
"14","GO:0000025","maltose catabolic process","BP"
"15","GO:0000026","alpha-1,2-mannosyltransferase activity","MF"
"16","GO:0000027","ribosomal large subunit assembly","BP"
"17","GO:0000028","ribosomal small subunit assembly","BP"
"18","GO:0000030","mannosyltransferase activity","MF"
"19","GO:0000032","cell wall mannoprotein biosynthetic process","BP"
"20","GO:0000033","alpha-1,3-mannosyltransferase activity","MF"
"21","GO:0000034","adenine deaminase activity","MF"
"22","GO:0000035","acyl binding","MF"
"23","GO:0000036","acyl carrier activity","MF"
"24","GO:0000038","very long-chain fatty acid metabolic process","BP"
"25","GO:0000045","autophagosome assembly","BP"
"26","GO:0000049","tRNA binding","MF"
"27","GO:0000050","urea cycle","BP"
"28","GO:0000052","citrulline metabolic process","BP"
"29","GO:0000053","argininosuccinate metabolic process","BP"
"30","GO:0000054","ribosomal subunit export from nucleus","BP"
"31","GO:0000055","ribosomal large subunit export from nucleus","BP"
"32","GO:0000056","ribosomal small subunit export from nucleus","BP"
"33","GO:0000062","fatty-acyl-CoA binding","MF"
"34","GO:0000064","L-ornithine transmembrane transporter activity","MF"
"35","GO:0000070","mitotic sister chromatid segregation","BP"
"36","GO:0000076","DNA replication checkpoint","BP"
"37","GO:0000077","DNA damage checkpoint","BP"
"38","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"39","GO:0000082","G1/S transition of mitotic cell cycle","BP"
"40","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle","BP"
"41","GO:0000086","G2/M transition of mitotic cell cycle","BP"
"42","GO:0000095","S-adenosyl-L-methionine transmembrane transporter activity","MF"
"43","GO:0000096","sulfur amino acid metabolic process","BP"
"44","GO:0000097","sulfur amino acid biosynthetic process","BP"
"45","GO:0000098","sulfur amino acid catabolic process","BP"
"46","GO:0000103","sulfate assimilation","BP"
"47","GO:0000104","succinate dehydrogenase activity","MF"
"48","GO:0000105","histidine biosynthetic process","BP"
"49","GO:0000107","imidazoleglycerol-phosphate synthase activity","MF"
"50","GO:0000109","nucleotide-excision repair complex","CC"
"51","GO:0000110","nucleotide-excision repair factor 1 complex","CC"
"52","GO:0000111","nucleotide-excision repair factor 2 complex","CC"
"53","GO:0000112","nucleotide-excision repair factor 3 complex","CC"
"54","GO:0000113","nucleotide-excision repair factor 4 complex","CC"
"55","GO:0000118","histone deacetylase complex","CC"
"56","GO:0000120","RNA polymerase I transcription regulator complex","CC"
"57","GO:0000121","glycerol-1-phosphatase activity","MF"
"58","GO:0000122","negative regulation of transcription by RNA polymerase II","BP"
"59","GO:0000123","histone acetyltransferase complex","CC"
"60","GO:0000124","SAGA complex","CC"
"61","GO:0000125","PCAF complex","CC"
"62","GO:0000126","transcription factor TFIIIB complex","CC"
"63","GO:0000127","transcription factor TFIIIC complex","CC"
"64","GO:0000131","incipient cellular bud site","CC"
"65","GO:0000132","establishment of mitotic spindle orientation","BP"
"66","GO:0000136","alpha-1,6-mannosyltransferase complex","CC"
"67","GO:0000137","Golgi cis cisterna","CC"
"68","GO:0000138","Golgi trans cisterna","CC"
"69","GO:0000139","Golgi membrane","CC"
"70","GO:0000144","cellular bud neck septin ring","CC"
"71","GO:0000145","exocyst","CC"
"72","GO:0000146","microfilament motor activity","MF"
"73","GO:0000147","actin cortical patch assembly","BP"
"74","GO:0000148","1,3-beta-D-glucan synthase complex","CC"
"75","GO:0000149","SNARE binding","MF"
"76","GO:0000150","recombinase activity","MF"
"77","GO:0000151","ubiquitin ligase complex","CC"
"78","GO:0000153","cytoplasmic ubiquitin ligase complex","CC"
"79","GO:0000154","rRNA modification","BP"
"80","GO:0000155","phosphorelay sensor kinase activity","MF"
"81","GO:0000156","phosphorelay response regulator activity","MF"
"82","GO:0000159","protein phosphatase type 2A complex","CC"
"83","GO:0000160","phosphorelay signal transduction system","BP"
"84","GO:0000162","tryptophan biosynthetic process","BP"
"85","GO:0000164","protein phosphatase type 1 complex","CC"
"86","GO:0000165","MAPK cascade","BP"
"87","GO:0000166","nucleotide binding","MF"
"88","GO:0000172","ribonuclease MRP complex","CC"
"89","GO:0000175","3'-5'-exoribonuclease activity","MF"
"90","GO:0000176","nuclear exosome (RNase complex)","CC"
"91","GO:0000177","cytoplasmic exosome (RNase complex)","CC"
"92","GO:0000178","exosome (RNase complex)","CC"
"93","GO:0000179","rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"94","GO:0000182","rDNA binding","MF"
"95","GO:0000183","rDNA heterochromatin assembly","BP"
"96","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"97","GO:0000185","activation of MAPKKK activity","BP"
"98","GO:0000186","activation of MAPKK activity","BP"
"99","GO:0000187","activation of MAPK activity","BP"
"100","GO:0000188","inactivation of MAPK activity","BP"
"101","GO:0000209","protein polyubiquitination","BP"
"102","GO:0000210","NAD+ diphosphatase activity","MF"
"103","GO:0000212","meiotic spindle organization","BP"
"104","GO:0000214","tRNA-intron endonuclease complex","CC"
"105","GO:0000215","tRNA 2'-phosphotransferase activity","MF"
"106","GO:0000217","DNA secondary structure binding","MF"
"107","GO:0000220","vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"108","GO:0000221","vacuolar proton-transporting V-type ATPase, V1 domain","CC"
"109","GO:0000224","peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity","MF"
"110","GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity","MF"
"111","GO:0000226","microtubule cytoskeleton organization","BP"
"112","GO:0000228","nuclear chromosome","CC"
"113","GO:0000234","phosphoethanolamine N-methyltransferase activity","MF"
"114","GO:0000242","pericentriolar material","CC"
"115","GO:0000243","commitment complex","CC"
"116","GO:0000244","spliceosomal tri-snRNP complex assembly","BP"
"117","GO:0000245","spliceosomal complex assembly","BP"
"118","GO:0000246","delta24(24-1) sterol reductase activity","MF"
"119","GO:0000248","C-5 sterol desaturase activity","MF"
"120","GO:0000250","lanosterol synthase activity","MF"
"121","GO:0000252","C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity","MF"
"122","GO:0000253","3-keto sterol reductase activity","MF"
"123","GO:0000254","C-4 methylsterol oxidase activity","MF"
"124","GO:0000256","allantoin catabolic process","BP"
"125","GO:0000262","mitochondrial chromosome","CC"
"126","GO:0000266","mitochondrial fission","BP"
"127","GO:0000270","peptidoglycan metabolic process","BP"
"128","GO:0000271","polysaccharide biosynthetic process","BP"
"129","GO:0000272","polysaccharide catabolic process","BP"
"130","GO:0000275","mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)","CC"
"131","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"132","GO:0000278","mitotic cell cycle","BP"
"133","GO:0000280","nuclear division","BP"
"134","GO:0000281","mitotic cytokinesis","BP"
"135","GO:0000285","1-phosphatidylinositol-3-phosphate 5-kinase activity","MF"
"136","GO:0000286","alanine dehydrogenase activity","MF"
"137","GO:0000287","magnesium ion binding","MF"
"138","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP"
"139","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening","BP"
"140","GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA","BP"
"141","GO:0000291","nuclear-transcribed mRNA catabolic process, exonucleolytic","BP"
"142","GO:0000292","RNA fragment catabolic process","BP"
"143","GO:0000293","ferric-chelate reductase activity","MF"
"144","GO:0000294","nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay","BP"
"145","GO:0000298","endopolyphosphatase activity","MF"
"146","GO:0000301","retrograde transport, vesicle recycling within Golgi","BP"
"147","GO:0000302","response to reactive oxygen species","BP"
"148","GO:0000303","response to superoxide","BP"
"149","GO:0000304","response to singlet oxygen","BP"
"150","GO:0000305","response to oxygen radical","BP"
"151","GO:0000306","extrinsic component of vacuolar membrane","CC"
"152","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","CC"
"153","GO:0000309","nicotinamide-nucleotide adenylyltransferase activity","MF"
"154","GO:0000310","xanthine phosphoribosyltransferase activity","MF"
"155","GO:0000321","re-entry into mitotic cell cycle after pheromone arrest","BP"
"156","GO:0000323","lytic vacuole","CC"
"157","GO:0000324","fungal-type vacuole","CC"
"158","GO:0000325","plant-type vacuole","CC"
"159","GO:0000326","protein storage vacuole","CC"
"160","GO:0000328","fungal-type vacuole lumen","CC"
"161","GO:0000329","fungal-type vacuole membrane","CC"
"162","GO:0000331","contractile vacuole","CC"
"163","GO:0000333","telomerase catalytic core complex","CC"
"164","GO:0000334","3-hydroxyanthranilate 3,4-dioxygenase activity","MF"
"165","GO:0000335","negative regulation of transposition, DNA-mediated","BP"
"166","GO:0000338","protein deneddylation","BP"
"167","GO:0000339","RNA cap binding","MF"
"168","GO:0000340","RNA 7-methylguanosine cap binding","MF"
"169","GO:0000345","cytosolic DNA-directed RNA polymerase complex","CC"
"170","GO:0000346","transcription export complex","CC"
"171","GO:0000347","THO complex","CC"
"172","GO:0000349","generation of catalytic spliceosome for first transesterification step","BP"
"173","GO:0000350","generation of catalytic spliceosome for second transesterification step","BP"
"174","GO:0000354","cis assembly of pre-catalytic spliceosome","BP"
"175","GO:0000373","Group II intron splicing","BP"
"176","GO:0000375","RNA splicing, via transesterification reactions","BP"
"177","GO:0000380","alternative mRNA splicing, via spliceosome","BP"
"178","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","BP"
"179","GO:0000386","second spliceosomal transesterification activity","MF"
"180","GO:0000387","spliceosomal snRNP assembly","BP"
"181","GO:0000388","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)","BP"
"182","GO:0000389","mRNA 3'-splice site recognition","BP"
"183","GO:0000390","spliceosomal complex disassembly","BP"
"184","GO:0000395","mRNA 5'-splice site recognition","BP"
"185","GO:0000398","mRNA splicing, via spliceosome","BP"
"186","GO:0000400","four-way junction DNA binding","MF"
"187","GO:0000403","Y-form DNA binding","MF"
"188","GO:0000405","bubble DNA binding","MF"
"189","GO:0000406","double-strand/single-strand DNA junction binding","MF"
"190","GO:0000407","phagophore assembly site","CC"
"191","GO:0000408","EKC/KEOPS complex","CC"
"192","GO:0000412","histone peptidyl-prolyl isomerization","BP"
"193","GO:0000413","protein peptidyl-prolyl isomerization","BP"
"194","GO:0000414","regulation of histone H3-K36 methylation","BP"
"195","GO:0000415","negative regulation of histone H3-K36 methylation","BP"
"196","GO:0000417","HIR complex","CC"
"197","GO:0000418","RNA polymerase IV complex","CC"
"198","GO:0000419","RNA polymerase V complex","CC"
"199","GO:0000421","autophagosome membrane","CC"
"200","GO:0000422","autophagy of mitochondrion","BP"
"201","GO:0000423","mitophagy","BP"
"202","GO:0000425","pexophagy","BP"
"203","GO:0000427","plastid-encoded plastid RNA polymerase complex","CC"
"204","GO:0000438","core TFIIH complex portion of holo TFIIH complex","CC"
"205","GO:0000439","transcription factor TFIIH core complex","CC"
"206","GO:0000444","MIS12/MIND type complex","CC"
"207","GO:0000445","THO complex part of transcription export complex","CC"
"208","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"209","GO:0000448","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"210","GO:0000451","rRNA 2'-O-methylation","BP"
"211","GO:0000453","enzyme-directed rRNA 2'-O-methylation","BP"
"212","GO:0000455","enzyme-directed rRNA pseudouridine synthesis","BP"
"213","GO:0000460","maturation of 5.8S rRNA","BP"
"214","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"215","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"216","GO:0000464","endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"217","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"218","GO:0000467","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"219","GO:0000469","cleavage involved in rRNA processing","BP"
"220","GO:0000470","maturation of LSU-rRNA","BP"
"221","GO:0000472","endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"222","GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"223","GO:0000480","endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"224","GO:0000492","box C/D snoRNP assembly","BP"
"225","GO:0000493","box H/ACA snoRNP assembly","BP"
"226","GO:0000494","box C/D snoRNA 3'-end processing","BP"
"227","GO:0000495","box H/ACA snoRNA 3'-end processing","BP"
"228","GO:0000500","RNA polymerase I upstream activating factor complex","CC"
"229","GO:0000502","proteasome complex","CC"
"230","GO:0000506","glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex","CC"
"231","GO:0000578","embryonic axis specification","BP"
"232","GO:0000701","purine-specific mismatch base pair DNA N-glycosylase activity","MF"
"233","GO:0000702","oxidized base lesion DNA N-glycosylase activity","MF"
"234","GO:0000703","oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity","MF"
"235","GO:0000706","meiotic DNA double-strand break processing","BP"
"236","GO:0000707","meiotic DNA recombinase assembly","BP"
"237","GO:0000709","meiotic joint molecule formation","BP"
"238","GO:0000710","meiotic mismatch repair","BP"
"239","GO:0000711","meiotic DNA repair synthesis","BP"
"240","GO:0000712","resolution of meiotic recombination intermediates","BP"
"241","GO:0000715","nucleotide-excision repair, DNA damage recognition","BP"
"242","GO:0000716","transcription-coupled nucleotide-excision repair, DNA damage recognition","BP"
"243","GO:0000717","nucleotide-excision repair, DNA duplex unwinding","BP"
"244","GO:0000718","nucleotide-excision repair, DNA damage removal","BP"
"245","GO:0000719","photoreactive repair","BP"
"246","GO:0000720","pyrimidine dimer repair by nucleotide-excision repair","BP"
"247","GO:0000722","telomere maintenance via recombination","BP"
"248","GO:0000723","telomere maintenance","BP"
"249","GO:0000724","double-strand break repair via homologous recombination","BP"
"250","GO:0000725","recombinational repair","BP"
"251","GO:0000727","double-strand break repair via break-induced replication","BP"
"252","GO:0000729","DNA double-strand break processing","BP"
"253","GO:0000730","DNA recombinase assembly","BP"
"254","GO:0000731","DNA synthesis involved in DNA repair","BP"
"255","GO:0000732","strand displacement","BP"
"256","GO:0000733","DNA strand renaturation","BP"
"257","GO:0000735","removal of nonhomologous ends","BP"
"258","GO:0000737","DNA catabolic process, endonucleolytic","BP"
"259","GO:0000738","DNA catabolic process, exonucleolytic","BP"
"260","GO:0000741","karyogamy","BP"
"261","GO:0000742","karyogamy involved in conjugation with cellular fusion","BP"
"262","GO:0000746","conjugation","BP"
"263","GO:0000747","conjugation with cellular fusion","BP"
"264","GO:0000749","response to pheromone triggering conjugation with cellular fusion","BP"
"265","GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion","BP"
"266","GO:0000768","syncytium formation by plasma membrane fusion","BP"
"267","GO:0000773","phosphatidyl-N-methylethanolamine N-methyltransferase activity","MF"
"268","GO:0000774","adenyl-nucleotide exchange factor activity","MF"
"269","GO:0000775","chromosome, centromeric region","CC"
"270","GO:0000776","kinetochore","CC"
"271","GO:0000777","condensed chromosome kinetochore","CC"
"272","GO:0000778","condensed nuclear chromosome kinetochore","CC"
"273","GO:0000779","condensed chromosome, centromeric region","CC"
"274","GO:0000781","chromosome, telomeric region","CC"
"276","GO:0000786","nucleosome","CC"
"277","GO:0000791","euchromatin","CC"
"278","GO:0000792","heterochromatin","CC"
"279","GO:0000793","condensed chromosome","CC"
"280","GO:0000794","condensed nuclear chromosome","CC"
"281","GO:0000795","synaptonemal complex","CC"
"282","GO:0000796","condensin complex","CC"
"283","GO:0000800","lateral element","CC"
"284","GO:0000805","X chromosome","CC"
"285","GO:0000806","Y chromosome","CC"
"286","GO:0000808","origin recognition complex","CC"
"287","GO:0000811","GINS complex","CC"
"288","GO:0000812","Swr1 complex","CC"
"289","GO:0000813","ESCRT I complex","CC"
"290","GO:0000814","ESCRT II complex","CC"
"291","GO:0000815","ESCRT III complex","CC"
"292","GO:0000818","nuclear MIS12/MIND complex","CC"
"293","GO:0000819","sister chromatid segregation","BP"
"294","GO:0000821","regulation of arginine metabolic process","BP"
"295","GO:0000822","inositol hexakisphosphate binding","MF"
"296","GO:0000823","inositol-1,4,5-trisphosphate 6-kinase activity","MF"
"297","GO:0000824","inositol tetrakisphosphate 3-kinase activity","MF"
"298","GO:0000825","inositol tetrakisphosphate 6-kinase activity","MF"
"299","GO:0000827","inositol-1,3,4,5,6-pentakisphosphate kinase activity","MF"
"300","GO:0000828","inositol hexakisphosphate kinase activity","MF"
"301","GO:0000829","inositol heptakisphosphate kinase activity","MF"
"302","GO:0000832","inositol hexakisphosphate 5-kinase activity","MF"
"303","GO:0000836","Hrd1p ubiquitin ligase complex","CC"
"304","GO:0000837","Doa10p ubiquitin ligase complex","CC"
"305","GO:0000839","Hrd1p ubiquitin ligase ERAD-L complex","CC"
"306","GO:0000900","translation repressor activity, mRNA regulatory element binding","MF"
"307","GO:0000902","cell morphogenesis","BP"
"308","GO:0000904","cell morphogenesis involved in differentiation","BP"
